,Time,Open,High,Low,Close,Volume
0,2025-05-16T03:45:00.000,1453.5,1456.5,1448,1449,118663
1,2025-05-16T03:46:00.000,1449.1,1452.7,1449,1452,53083
2,2025-05-16T03:47:00.000,1452.3,1453.3,1450.7,1451.6,124145
3,2025-05-16T03:48:00.000,1451.9,1452.9,1450,1450.4,36921
4,2025-05-16T03:49:00.000,1450.5,1452.5,1449.3,1450.9,31946
5,2025-05-16T03:50:00.000,1450.9,1451.4,1449.1,1449.8,21574
6,2025-05-16T03:51:00.000,1450.1,1450.7,1449.1,1449.2,15682
7,2025-05-16T03:52:00.000,1449.5,1450.9,1449.2,1450.5,11901
8,2025-05-16T03:53:00.000,1450.5,1450.5,1449,1449.4,15446
9,2025-05-16T03:54:00.000,1449.4,1449.4,1448.3,1449.3,23009
10,2025-05-16T03:55:00.000,1449.1,1449.8,1449,1449.3,11703
11,2025-05-16T03:56:00.000,1449.6,1449.6,1448.3,1448.3,18604
12,2025-05-16T03:57:00.000,1448.3,1448.9,1447.9,1447.9,22264
13,2025-05-16T03:58:00.000,1448,1448.4,1447,1448,33122
14,2025-05-16T03:59:00.000,1448,1449.4,1447.1,1449,16354
15,2025-05-16T04:00:00.000,1449.1,1452,1449.1,1452,13397
16,2025-05-16T04:01:00.000,1452,1452.9,1451.4,1452.8,17038
17,2025-05-16T04:02:00.000,1452.8,1452.8,1450.7,1450.9,39216
18,2025-05-16T04:03:00.000,1450.9,1451,1450.2,1450.5,4279
19,2025-05-16T04:04:00.000,1450.5,1450.5,1448,1448.2,13975
20,2025-05-16T04:05:00.000,1448,1449.4,1448,1449.1,14868
21,2025-05-16T04:06:00.000,1449,1449.4,1448,1449,19195
22,2025-05-16T04:07:00.000,1449,1449.4,1449,1449.2,3476
23,2025-05-16T04:08:00.000,1449.2,1449.8,1449,1449,13786
24,2025-05-16T04:09:00.000,1449.1,1449.2,1448.1,1448.7,13925
25,2025-05-16T04:10:00.000,1448.7,1449,1448.1,1448.5,7360
26,2025-05-16T04:11:00.000,1448.1,1449.8,1448.1,1449.3,19934
27,2025-05-16T04:12:00.000,1449.3,1452,1449.2,1451.3,13517
28,2025-05-16T04:13:00.000,1451.3,1451.6,1450.3,1450.5,5964
29,2025-05-16T04:14:00.000,1450.5,1450.9,1450.1,1450.6,6364
30,2025-05-16T04:15:00.000,1450.6,1451.7,1450.4,1451.2,5796
31,2025-05-16T04:16:00.000,1451.2,1451.4,1449.9,1449.9,6097
32,2025-05-16T04:17:00.000,1450.1,1450.7,1449.9,1450.5,4990
33,2025-05-16T04:18:00.000,1450.7,1451.6,1450.2,1451,5180
34,2025-05-16T04:19:00.000,1451.2,1451.9,1450.7,1451.8,5541
35,2025-05-16T04:20:00.000,1451.4,1451.9,1450.7,1451.9,7860
36,2025-05-16T04:21:00.000,1451.6,1452,1450,1450.4,6846
37,2025-05-16T04:22:00.000,1450.4,1451.4,1450.2,1451.1,15385
38,2025-05-16T04:23:00.000,1450.9,1451.5,1450.6,1451.3,18046
39,2025-05-16T04:24:00.000,1451.4,1452,1450,1450.1,12321
40,2025-05-16T04:25:00.000,1450.3,1451.9,1450,1451.8,4086
41,2025-05-16T04:26:00.000,1451.7,1452.9,1451.6,1452.6,8900
42,2025-05-16T04:27:00.000,1452.5,1453,1452.5,1453,6788
43,2025-05-16T04:28:00.000,1452.9,1453.3,1452.8,1453,11490
44,2025-05-16T04:29:00.000,1453,1453.3,1451.9,1452,26308
45,2025-05-16T04:30:00.000,1451.9,1452.6,1451.7,1452,7657
46,2025-05-16T04:31:00.000,1452,1452.3,1451.4,1451.6,7298
47,2025-05-16T04:32:00.000,1451.5,1453,1451.5,1452.7,6189
48,2025-05-16T04:33:00.000,1452.8,1453,1452.5,1452.8,4039
49,2025-05-16T04:34:00.000,1452.8,1453.8,1452.8,1453.4,6702
50,2025-05-16T04:35:00.000,1453.4,1453.4,1451.6,1452.2,13637
51,2025-05-16T04:36:00.000,1452,1453.1,1451.9,1452.7,1840
52,2025-05-16T04:37:00.000,1452.7,1452.9,1452.5,1452.6,4548
53,2025-05-16T04:38:00.000,1452.5,1452.9,1452.2,1452.6,5731
54,2025-05-16T04:39:00.000,1452.6,1452.6,1452.1,1452.1,5447
55,2025-05-16T04:40:00.000,1452.1,1452.9,1452,1452.5,4788
56,2025-05-16T04:41:00.000,1452.4,1453,1452,1452.8,5293
57,2025-05-16T04:42:00.000,1452.8,1453,1452,1452.6,3096
58,2025-05-16T04:43:00.000,1452.4,1453.6,1452,1453.6,5670
59,2025-05-16T04:44:00.000,1453.5,1455,1453.4,1455,14572
60,2025-05-16T04:45:00.000,1454.8,1455,1454,1454.7,6354
61,2025-05-16T04:46:00.000,1454.7,1455,1454.4,1454.9,7950
62,2025-05-16T04:47:00.000,1455,1455.5,1454.2,1454.2,15648
63,2025-05-16T04:48:00.000,1454.7,1455.3,1453.8,1455,32968
64,2025-05-16T04:49:00.000,1455.4,1455.5,1454.7,1454.9,12671
65,2025-05-16T04:50:00.000,1454.7,1455.4,1454.6,1455.4,2239
66,2025-05-16T04:51:00.000,1455.3,1455.4,1452.5,1452.5,40033
67,2025-05-16T04:52:00.000,1452.8,1453.4,1452.1,1452.6,30221
68,2025-05-16T04:53:00.000,1452.6,1452.6,1451,1451.6,8044
69,2025-05-16T04:54:00.000,1451.5,1451.5,1450,1450.4,20238
70,2025-05-16T04:55:00.000,1450.4,1451.9,1449.5,1451.3,18006
71,2025-05-16T04:56:00.000,1450.9,1452.5,1450.9,1452.5,12817
72,2025-05-16T04:57:00.000,1452.4,1453,1452.3,1453,1334
73,2025-05-16T04:58:00.000,1452.8,1453.6,1452.8,1453.5,5368
